Date,Description,Credit,Debit,Balance
23/04/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 5125ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 23 Apr 2017 Time 11:42AM Card 462263xxxxxx4176,,-202.80,2453.78
21/04/2017,JOHN TRUMAN & JENNY - Visa Purchase - Receipt 127985In POINT LOOKOU Date 19 Apr 2017 Card 462263xxxxxx4176,,-45.74,2656.58
18/04/2017,MPH REDLANDS CLEVELAND - EFTPOS Purchase - Receipt 30085Date 18 Apr 2017 Time 1:11PM Card 462263xxxxxx4176,,-500.00,2702.32
18/04/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 176887In POINT LOOKOU Date 16 Apr 2017 Card 462263xxxxxx4176,,-2.06,3202.32
18/04/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 176886In POINT LOOKOU Date 16 Apr 2017 Card 462263xxxxxx4176,,-35.62,3204.38
14/04/2017,STRADDIE ROADHOUSE Q - Visa Purchase - Receipt 156276In POINT LOOKOU Date 12 Apr 2017 Card 462263xxxxxx4176,,-99.21,3240.00
13/04/2017,STRADDIE ROADHOUSE Q - Visa Purchase - Receipt 125664In POINT LOOKOU Date 11 Apr 2017 Card 462263xxxxxx4176,,-61.65,3339.21
13/04/2017,CSC              60640077PS NETT  - Receipt 103321,821.58,,3400.86
09/04/2017,ATM Rebate - Receipt 4227We paid the ATM fee for you!,2.80,,2579.28
09/04/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 4227ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 09 Apr 2017 Time 10:58AM Card 462263xxxxxx4176,,-202.80,2576.48
08/04/2017,rates and power - Transfer to G C BELL - Receipt 21490 To 484799 24243293,,-1000.00,2779.28
07/04/2017,JOHN TRUMAN & JENNY - Visa Purchase - Receipt 147277In POINT LOOKOU Date 05 Apr 2017 Card 462263xxxxxx4176,,-31.35,3779.28
05/04/2017,Stradbroke Hotel - Visa Purchase - Receipt 143904In Point Lookou Date 04 Apr 2017 Card 462263xxxxxx4176,,-51.00,3810.63
05/04/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 143903In POINT LOOKOU Date 03 Apr 2017 Card 462263xxxxxx4176,,-35.01,3861.63
02/04/2017,CAPALABA PRODUCE - Visa Purchase - Receipt 171663In CAPALABA Date 31 Mar 2017 Card 462263xxxxxx4176,,-31.90,3896.64
02/04/2017,JB HI FI - Visa Purchase - Receipt 171662In BRISBANE Date 30 Mar 2017 Card 462263xxxxxx4176,,-924.94,3928.54
30/03/2017,CSC              60640077PS NETT  - Receipt 105888,821.58,,4853.48
28/03/2017,Transfer to G C BELL - Receipt 211301 To 484799 24243293 - Transfer to G C BELL - Receipt 211301 To 484799 24243293,,-1000.00,4031.90
27/03/2017,QSUPER FRIP      FRIP PENS070625  - Receipt 118295,532.00,,5031.90
18/03/2017,DBS MENWEAR - Visa Purchase - Receipt 164657In WYNNUM Date 16 Mar 2017 Card 462263xxxxxx4176,,-69.99,4499.90
18/03/2017,THE PRAWN SHACK - Visa Purchase - Receipt 164656In POINT LOOKOU Date 15 Mar 2017 Card 462263xxxxxx4176,,-16.20,4569.89
17/03/2017,BP CLEVELAND 7441 - Visa Purchase - Receipt 159663In ORMISTON Date 16 Mar 2017 Card 462263xxxxxx4176,,-77.61,4586.09
17/03/2017,JOHN TRUMAN AND JENNY TRU - Visa Purchase - Receipt 159662In POINT LOOKOU Date 15 Mar 2017 Card 462263xxxxxx4176,,-30.45,4663.70
16/03/2017,POINT LOOKOUT NEWS - Visa Purchase - Receipt 184980In POINT LOOKOU Date 14 Mar 2017 Card 462263xxxxxx4176,,-35.20,4694.15
16/03/2017,POINT LOOKOUT BLUE ROOM - Visa Purchase - Receipt 184979In POINT LOOKOU Date 14 Mar 2017 Card 462263xxxxxx4176,,-13.00,4729.35
16/03/2017,JOHN TRUMAN AND JENNY TRU - Visa Purchase - Receipt 184978In POINT LOOKOU Date 14 Mar 2017 Card 462263xxxxxx4176,,-17.30,4742.35
16/03/2017,CSC              60640077PS NETT  - Receipt 105770,821.58,,4759.65
10/03/2017,STRADDIE ROADHOUSE QLD PL - Visa Purchase - Receipt 138535In POINT LOOKOU Date 08 Mar 2017 Card 462263xxxxxx4176,,-38.30,3938.07
07/03/2017,ATM Rebate - Receipt 3075We paid the ATM fee for you!,2.80,,3976.37
07/03/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 3075ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 07 Mar 2017 Time 6:31PM Card 462263xxxxxx4176,,-202.80,3973.57
05/03/2017,NORTH STRADBROKE FOO DUNWICH - EFTPOS Purchase with Cash Out - Receipt 121207 - Cash amount $50.00<BR/>Date 05 Mar 2017 Time 4:35PM Card 462263xxxxxx4176,,-82.80,4176.37
05/03/2017,THE PRAWN SHACK - Visa Purchase - Receipt 142434In POINT LOOKOU Date 02 Mar 2017 Card 462263xxxxxx4176,,-11.80,4259.17
03/03/2017,Pt Lookout Pharmacy - Visa Purchase - Receipt 190821In Point Lookou Date 02 Mar 2017 Card 462263xxxxxx4176,,-39.35,4270.97
03/03/2017,POST   POINT LOOKOUT - Visa Purchase - Receipt 190820In POINT LOOKOU Date 01 Mar 2017 Card 462263xxxxxx4176,,-31.00,4310.32
03/03/2017,STRADDIE ROADHOUSE QLD PL - Visa Purchase - Receipt 190819In POINT LOOKOU Date 01 Mar 2017 Card 462263xxxxxx4176,,-105.29,4341.32
02/03/2017,CSC              60640077PS NETT  - Receipt 103591,821.58,,4446.61
27/02/2017,QSUPER FRIP      FRIP PENS070625  - Receipt 118324,532.00,,3625.03
24/02/2017,ATM Rebate - Receipt 812378We paid the ATM fee for you!,2.50,,3093.03
24/02/2017,STRADBROKE RSL DUNWICH - Receipt 812378ATM owner fee of $2.50 charged by STRADBROKE RSL DUNWICHDate 24 Feb 2017 Time 6:45PM Card 462263xxxxxx4176,,-242.50,3090.53
17/02/2017,ATM Rebate - Receipt 2484We paid the ATM fee for you!,2.80,,3333.03
17/02/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 2484ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 17 Feb 2017 Time 2:06PM Card 462263xxxxxx4176,,-202.80,3330.23
16/02/2017,CSC              60640077PS NETT  - Receipt 109001,821.58,,3533.03
02/02/2017,CSC              60640077PS NETT  - Receipt 109320,1306.45,,2711.45
30/01/2017,ATM Rebate - Receipt 5669We paid the ATM fee for you!,2.50,,1405.00
30/01/2017,BNEAIR BNEAIR Int LS  Dep Brisban - Receipt 5669ATM owner fee of $2.50 charged by BNEAIR BNEAIR Int LS  Dep BrisbanDate 30 Jan 2017 Time 9:27PM Card 462263xxxxxx4176,,-402.50,1402.50
19/01/2017,Internal Transfer - Internal Transfer - Receipt 300786 Savings Maximiser 0089263069,,-8000.00,1805.00
18/01/2017,BELL GLENN COLIN ing  - Receipt 117074,5000.00,,9805.00
18/01/2017,ATM Rebate - Receipt 1106We paid the ATM fee for you!,2.80,,4805.00
18/01/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 1106ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 18 Jan 2017 Time 9:34AM Card 462263xxxxxx4176,,-202.80,4802.20
17/01/2017,BELL GLENN COLIN ing  - Receipt 108513,5000.00,,5005.00
16/01/2017,Internal Transfer - Internal Transfer - Receipt 68181 Savings Maximiser 0089263069,,-5000.00,5.00
13/01/2017,BELL GLENN COLIN ING  - Receipt 111827,5000.00,,5005.00
13/01/2017,1 - Internal Transfer - Receipt 235378 Savings Maximiser 0089263069,,-5000.00,5.00
11/01/2017,BELL GLENN COLIN ing  - Receipt 109631,5000.00,,5005.00
11/01/2017,Initial Deposit - Internal Transfer - Receipt 696801 Savings Maximiser 0089263069,,-5.00,5.00
10/01/2017,BELL GC          ing startup  - Receipt 101688,10.00,,10.00
